iter	Passed	Remaining
902	54642	5869
903	54705	5809
904	54763	5748
905	54820	5687
906	54869	5626
907	54931	5565
908	54990	5505
909	55046	5444
910	55110	5383
911	55166	5323
912	55222	5262
913	55327	5205
914	55388	5145
915	55446	5084
916	55499	5023
917	55555	4962
918	55617	4902
919	55671	4841
920	55731	4780
921	55786	4719
922	55833	4657
923	55896	4597
924	55959	4537
925	56005	4475
926	56049	4413
927	56107	4353
928	56172	4293
929	56220	4231
930	56287	4171
931	56341	4110
932	56398	4050
933	56452	3989
934	56510	3928
935	56555	3867
936	56609	3806
937	56649	3744
938	56706	3683
939	56762	3623
940	56821	3562
941	56874	3501
942	56930	3441
943	56987	3380
944	57044	3320
945	57092	3258
946	57151	3198
947	57198	3137
948	57252	3076
949	57306	3016
950	57382	2956
951	57488	2898
952	57544	2837
953	57590	2776
954	57687	2718
955	57745	2657
956	57804	2597
957	57869	2537
958	57923	2476
959	57973	2415
960	58031	2355
961	58092	2294
962	58156	2234
963	58213	2173
964	58269	2113
965	58331	2053
966	58397	1992
967	58444	1932
968	58498	1871
969	58554	1810
970	58601	1750
971	58665	1689
972	58734	1629
973	58841	1570
974	58889	1509
975	58938	1449
976	58992	1388
977	59050	1328
978	59112	1267
979	59160	1207
980	59214	1146
981	59352	1087
982	59423	1027
983	59477	967
984	59531	906
985	59595	846
986	59661	785
987	59747	725
988	59804	665
989	59910	605
990	59976	544
991	60021	484
992	60107	423
993	60174	363
994	60221	302
995	60266	242
996	60323	181
997	60380	121
998	60438	60
999	60499	0
